OUTPUT Square with edge 50 has lower left (0, 0)
OUTPUT Square with edge 38 has lower left (0, 50)
OUTPUT Square with edge 8 has lower left (38, 50)
OUTPUT Square with edge 8 has lower left (38, 58)
OUTPUT Square with edge 7 has lower left (38, 66)
OUTPUT Square with edge 6 has lower left (38, 73)
OUTPUT Square with edge 6 has lower left (38, 79)
OUTPUT Square with edge 1 has lower left (38, 85)
OUTPUT Square with edge 4 has lower left (46, 58)
OUTPUT Square with edge 4 has lower left (46, 62)
OUTPUT Square with edge 38 has lower left (50, 50)
OUTPUT Square with edge 27 has lower left (50, 0)
OUTPUT Square with edge 23 has lower left (50, 27)
OUTPUT Square with edge 6 has lower left (77, 27)
OUTPUT Square with edge 5 has lower left (77, 33)
