AK	310	218
AL	330	139
AR	280	60
AZ	220	196
CA	285	271
CO	160	311
CT	275	273
DE	235	215
FL	250	236
GA	270	236
HI	160	255
IA	195	244
ID	230	257
IN	175	202
KS	200	188
KY	290	201
LA	295	259
MA	190	248
MD	245	207
ME	235	221
MI	245	223
MN	185	260
MO	335	229
MS	215	204
MT	205	235
NC	150	241
ND	310	305
NE	145	286
NH	225	199
NJ	325	226
NM	245	212
NV	280	248
NY	140	290
OH	245	248
OK	205	169
OR	255	362
RI	265	248
SC	275	258
SD	140	221
TN	270	238
TX	225	287
UT	170	251
VA	170	191
VT	205	229
WA	290	320
WI	315	162
WV	230	119
WY	235	312
