AL,6.2,1.80%
AK,6.6,-6.10%
AZ,5.6,-14.00%
AR,4.4,-0.40%
CA,5.7,7.10%
CO,3.2,11.10%
CT,5.5,7.30%
DE,4.7,1.50%
FL,5,3.60%
GA,5.4,3.60%
HI,3.2,5.50%
ID,3.9,4.40%
IN,4.6,5.70%
IA,3.5,0.20%
KS,4,-1.20%
KY,5.8,0.10%
LA,5.9,5.90%
ME,3.8,4.80%
MD,4.9,0.70%
MA,4.7,2.10%
MI,4.9,2.30%
MN,3.7,6.00%
MS,6.7,2.90%
MO,4.3,0.40%
MT,4.1,3.50%
NE,3,4.10%
NV,6.2,10.50%
NH,2.9,8.60%
NJ,4.5,-0.10%
NM,6.5,2.60%
NY,4.9,1.20%
NC,5.6,4.80%
ND,2.8,9.00%
OH,4.9,4.80%
OK,4.1,-3.10%
OR,5.1,16.20%
RI,5.3,4.80%
SC,5.5,5.80%
SD,2.8,2.10%
TN,5.4,3.80%
TX,4.5,8.70%
UT,3.4,5.10%
VT,3.4,-0.90%
VA,4.1,2.90%
WA,5.8,12.00%
WV,6.3,-3.80%
WI,4.6,-8.10%
WY,4.7,11.20%
